cand_id,cmte_id,cycle,total,count,support_oppose_indicator,candidate_id,committee_id,candidate_name,committee_name
P00003392,C00002089,2016,150.00,1,S,P00003392,C00002089,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE
P00003392,C00002766,2016,133176.13,4,S,P00003392,C00002766,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB
P00003392,C00003418,2016,321531.27,27,O,P00003392,C00003418,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",REPUBLICAN NATIONAL COMMITTEE
P00003392,C00003590,2016,14944.65,8,S,P00003392,C00003590,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",UNITED STEELWORKERS POLITICAL ACTION FUND
P00003392,C00003632,2016,47267.02,51,S,P00003392,C00003632,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",INTL UNION OF BRICKLAYERS & ALLIED CRAFTWORKERS PAC
P00003392,C00004036,2016,2062041.68,253,S,P00003392,C00004036,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)
P00003392,C00006486,2016,14497.31,3,O,P00003392,C00006486,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","INDIANA REPUBLICAN STATE COMMITTEE, INC."
P00003392,C00007922,2016,163100.94,88,S,P00003392,C00007922,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC
P00003392,C00008268,2016,32158.15,7,S,P00003392,C00008268,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",TRANSPORT WORKERS UNION POLITICAL CONTRIBUTIONS COMMITTEE
P00003392,C00011114,2016,15773.20,1,S,P00003392,C00011114,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E
P00003392,C00012476,2016,148868.00,7,S,P00003392,C00012476,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",UNITED ASSOCIATION POLITICAL EDUCATION COMMITTEE (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA)
P00003392,C00017525,2016,753.03,2,S,P00003392,C00017525,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",AMERICAN NURSES ASSOCIATION PAC
P00003392,C00023580,2016,43157.15,2,S,P00003392,C00023580,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NATIONAL ASSOCIATION OF LETTER CARRIERS OF U.S.A. POLITICAL FUND (LETTER CARRIER POLITICAL FUND)
P00003392,C00041160,2016,6950.09,4,O,P00003392,C00041160,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",MICHIGAN REPUBLICAN PARTY
P00003392,C00053553,2016,7448183.96,100,O,P00003392,C00053553,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
P00003392,C00053553,2016,265.00,3,S,P00003392,C00053553,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
P00003392,C00101212,2016,17019.96,2,O,P00003392,C00101212,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",RIGHT TO LIFE OF MICHIGAN POLITICAL ACTION COMMITTEE
P00003392,C00107128,2016,624.00,1,S,P00003392,C00107128,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NATIONAL TREASURY EMPLOYEES POLITICAL ACTION COMMITTEE
P00003392,C00111278,2016,44157.77,5,O,P00003392,C00111278,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
P00003392,C00135368,2016,23587.38,67,S,P00003392,C00135368,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",SIERRA CLUB POLITICAL COMMITTEE
P00003392,C00141572,2016,1575.48,5,O,P00003392,C00141572,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",RIGHT TO LIFE/OREGON PAC
P00003392,C00143743,2016,279.99,1,O,P00003392,C00143743,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",REPUBLICAN PARTY OF TEXAS
P00003392,C00157537,2016,148.30,11,O,P00003392,C00157537,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",WEST VIRGINIANS FOR LIFE INC POLITICAL ACTION COMMITTEE
P00003392,C00157958,2016,303.00,1,O,P00003392,C00157958,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",MISSOURI RIGHT TO LIFE FEDERAL POLITICAL ACTION COMMITTEE
P00003392,C00162818,2016,1025.00,1,O,P00003392,C00162818,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION
P00003392,C00162818,2016,116450.29,15,S,P00003392,C00162818,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION
P00003392,C00167015,2016,264283.00,5,S,P00003392,C00167015,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",DEMOCRATIC PARTY OF ILLINOIS
P00003392,C00202804,2016,1250.00,2,S,P00003392,C00202804,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",PROCHOICE VOTER
P00003392,C00216614,2016,5330.57,17,S,P00003392,C00216614,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",DEMOCRATIC PARTY COMMITTEE ABROAD
P00003392,C00235853,2016,1295.96,10,O,P00003392,C00235853,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",HUMAN RIGHTS CAMPAIGN PAC
P00003392,C00235853,2016,261072.38,74,S,P00003392,C00235853,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",HUMAN RIGHTS CAMPAIGN PAC
P00003392,C00252551,2016,2000.00,1,O,P00003392,C00252551,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",REPUBLICAN PARTY OF SAN DIEGO COUNTY
P00003392,C00319517,2016,750.00,2,S,P00003392,C00319517,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",BLACKS IN GOVERNMENT POLITICAL ADVANCEMENT COUNCIL
P00003392,C00319517,2016,1000.00,2,,P00003392,C00319517,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",BLACKS IN GOVERNMENT POLITICAL ADVANCEMENT COUNCIL
P00003392,C00325076,2016,7034.50,4,O,P00003392,C00325076,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CAMPAIGN FOR WORKING FAMILIES
P00003392,C00341396,2016,480447.88,93,S,P00003392,C00341396,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",MOVEON.ORG POLITICAL ACTION
P00003392,C00344531,2016,188000.00,1,S,P00003392,C00344531,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",1199 32BJ/144 SERVICE EMPLOYEES INTERNATIONAL UNION HOME CARE POLITICAL ACTION FUND
P00003392,C00346015,2016,7013.57,4,S,P00003392,C00346015,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",80-20 NATIONAL ASIAN AMERICAN PAC
P00003392,C00346239,2016,275.50,2,S,P00003392,C00346239,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",ARAB AMERICAN POLITICAL ACTION COMMITTEE
P00003392,C00348540,2016,472261.00,7,S,P00003392,C00348540,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND
P00003392,C00352211,2016,312.50,1,S,P00003392,C00352211,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",WEST HOLLYWOOD DEMOCRATIC CLUB/BEVERLY HILLS DEMOCRATIC CLUB
P00003392,C00355289,2016,13074.78,2,S,P00003392,C00355289,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LOCAL 32BJ SERVICE EMPLOYEES INTERNATIONAL UNION AMERICAN DREAM POLITICAL ACTION FUND
P00003392,C00401786,2016,939085.12,151,O,P00003392,C00401786,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",FREEDOM'S DEFENSE FUND
P00003392,C00403741,2016,4088.53,2,S,P00003392,C00403741,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",UA PROGRESSIVE ACTION
P00003392,C00405878,2016,174.54,1,O,P00003392,C00405878,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",AMERICANS FOR LEGAL IMMIGRATION PAC
P00003392,C00406397,2016,705.61,2,S,P00003392,C00406397,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",DESERT STONEWALL DEMOCRATS
P00003392,C00406447,2016,7286.57,4,S,P00003392,C00406447,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LOUDOUN COUNTY DEMOCRATIC COMMITTEE
P00003392,C00418897,2016,402937.62,11,S,P00003392,C00418897,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",VOTEVETS
P00003392,C00427849,2016,11469.05,5,S,P00003392,C00427849,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",REPLACEMENTS LTD PAC
P00003392,C00428557,2016,5096.92,1,O,P00003392,C00428557,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",COLOROFCHANGE PAC
P00003392,C00428557,2016,178320.68,20,S,P00003392,C00428557,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",COLOROFCHANGE PAC
P00003392,C00429456,2016,178.42,4,S,P00003392,C00429456,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",SANTA BARBARA WOMEN'S POLITICAL COMMITTEE
P00003392,C00432260,2016,121.82,4,O,P00003392,C00432260,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CLUB FOR GROWTH PAC
P00003392,C00432260,2016,84.09,2,S,P00003392,C00432260,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CLUB FOR GROWTH PAC
P00003392,C00438747,2016,3000.00,1,O,P00003392,C00438747,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LIFE AND LIBERTY PAC INC
P00003392,C00442319,2016,3000.00,1,O,P00003392,C00442319,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",REPUBLICAN MAJORITY CAMPAIGN
P00003392,C00455357,2016,0.69,1,S,P00003392,,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",
P00003392,C00455378,2016,71035.37,43,O,P00003392,C00455378,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",THE NATIONAL REPUBLICAN TRUST PAC
P00003392,C00455923,2016,82349.86,20,O,P00003392,C00455923,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC
P00003392,C00455923,2016,500.00,1,S,P00003392,C00455923,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC
P00003392,C00457291,2016,267812.86,22,O,P00003392,C00457291,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",THE CONSERVATIVE STRIKEFORCE
P00003392,C00464198,2016,500.00,1,S,P00003392,C00464198,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",DEMOCRATIC CLUB OF THE CONEJO VALLEY
P00003392,C00468447,2016,12500.00,2,O,P00003392,C00468447,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",ONE NATION PAC
P00003392,C00473918,2016,5568726.90,58,S,P00003392,C00473918,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",WOMEN VOTE!
P00003392,C00484253,2016,13378.40,7,S,P00003392,C00484253,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT
P00003392,C00484642,2016,227337.41,3,S,P00003392,C00484642,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",SENATE MAJORITY PAC
P00003392,C00486845,2016,6281876.46,20,S,P00003392,C00486845,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LCV VICTORY FUND
P00003392,C00487363,2016,135378.00,11,O,P00003392,C00487363,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",AMERICAN CROSSROADS
P00003392,C00487470,2016,536.18,36,O,P00003392,C00487470,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CLUB FOR GROWTH ACTION
P00003392,C00488486,2016,21719.93,7,S,P00003392,C00488486,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES
P00003392,C00489252,2016,3606.16,8,S,P00003392,C00489252,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NEW POWER PAC
P00003392,C00489799,2016,2401224.45,144,S,P00003392,C00489799,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",PLANNED PARENTHOOD VOTES
P00003392,C00489815,2016,196270.01,16,S,P00003392,C00489815,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NEA ADVOCACY FUND
P00003392,C00490730,2016,5426475.67,37,O,P00003392,C00490730,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",RGA RIGHT DIRECTION PAC
P00003392,C00491290,2016,2950.00,5,O,P00003392,C00491290,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",TEA PARTY VICTORY FUND
P00003392,C00493510,2016,2500.00,1,S,P00003392,C00493510,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",GLOBAL DIASPORA PAC INCORPORATED; THE
P00003392,C00495010,2016,5000.00,4,O,P00003392,C00495010,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CONSERVATIVE CAMPAIGN COMMITTEE
P00003392,C00495861,2016,6455315.54,87,S,P00003392,C00495861,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",PRIORITIES USA ACTION
P00003392,C00497420,2016,684342.55,356,O,P00003392,C00497420,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CITIZENS UNITED SUPER PAC LLC
P00003392,C00497420,2016,88485.78,40,S,P00003392,C00497420,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CITIZENS UNITED SUPER PAC LLC
P00003392,C00508440,2016,318472.62,46,S,P00003392,C00508440,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",HUMAN RIGHTS CAMPAIGN EQUALITY VOTES
P00003392,C00509893,2016,84483.94,9,O,P00003392,C00509893,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NATIONAL RIGHT TO LIFE VICTORY FUND
P00003392,C00519413,2016,7538.22,13,S,P00003392,C00519413,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",L PAC
P00003392,C00521302,2016,18000.00,2,O,P00003392,C00521302,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",VETERANS FOR A STRONG AMERICA ACTION GROUP
P00003392,C00521757,2016,81500.00,3,O,P00003392,C00521757,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CHARACTER COUNTS POLITICAL ACTION COMMITTEE
P00003392,C00522458,2016,293.86,2,S,P00003392,C00522458,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",TOGETHER WE THRIVE
P00003392,C00523241,2016,2544.81,6,O,P00003392,C00523241,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",SPECIAL OPERATIONS FOR AMERICA
P00003392,C00523241,2016,92.00,2,S,P00003392,C00523241,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",SPECIAL OPERATIONS FOR AMERICA
P00003392,C00523498,2016,150.00,2,S,P00003392,C00523498,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",COURAGE CAMPAIGN SUPER PAC
P00003392,C00523621,2016,4105928.50,69,S,P00003392,C00523621,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",UNITED WE CAN
P00003392,C00524454,2016,722786.78,221,O,P00003392,C00524454,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CONSERVATIVE MAJORITY FUND
P00003392,C00526673,2016,1304478.70,18,S,P00003392,C00526673,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",FAIR SHARE ACTION
P00003392,C00527226,2016,21258.20,13,S,P00003392,C00527226,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE
P00003392,C00528307,2016,8307.12,2,O,P00003392,C00528307,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",PATRIOT VOICES PAC
P00003392,C00528448,2016,19318.58,4,S,P00003392,C00528448,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",UAW EDUCATION FUND
P00003392,C00530766,2016,540397.69,77,O,P00003392,C00530766,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",WOMEN SPEAK OUT PAC
P00003392,C00531624,2016,1412881.56,107,S,P00003392,C00531624,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LOCAL VOICES
P00003392,C00531814,2016,421419.04,16,S,P00003392,C00531814,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",ENVIRONMENT AMERICA ACTION FUND
